"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Município";"Ano x Produto das lavouras temporárias e permanentes"
"Município";"2024"
"Município";"Total";"Café (em grão) Total";"Cana-de-açúcar";"Milho (em grão)";"Soja (em grão)"
"Cardeal da Silva (BA)";"518";"-";"-";"288";"-"
"Carinhanha (BA)";"4926";"-";"10";"1000";"161"
"Casa Nova (BA)";"14091";"-";"-";"1876";"-"
"Castro Alves (BA)";"1418";"-";"-";"150";"-"
"Catolândia (BA)";"385";"-";"45";"143";"-"
"Catu (BA)";"496";"-";"2";"109";"-"
"Caturama (BA)";"1683";"-";"250";"514";"-"
"Central (BA)";"3088";"-";"-";"1061";"-"
"Chorrochó (BA)";"393";"-";"-";"118";"-"
"Cícero Dantas (BA)";"22881";"-";"-";"15850";"-"
"Cipó (BA)";"434";"-";"-";"136";"-"
"Coaraci (BA)";"4743";"49";"30";"-";"-"
"Cocos (BA)";"37001";"832";"95";"7700";"17000"
"Conceição da Feira (BA)";"497";"-";"-";"54";"-"
"Conceição do Almeida (BA)";"1171";"-";"-";"10";"-"
"Conceição do Coité (BA)";"14982";"-";"-";"3060";"-"
"Conceição do Jacuípe (BA)";"140";"-";"-";"90";"-"
"Conde (BA)";"11099";"-";"-";"63";"-"
"Condeúba (BA)";"1447";"-";"58";"572";"-"
"Contendas do Sincorá (BA)";"1027";"251";"170";"-";"-"
"Coração de Maria (BA)";"2090";"-";"-";"800";"-"
"Cordeiros (BA)";"526";"-";"72";"168";"-"
"Coribe (BA)";"2257";"-";"110";"990";"-"
"Coronel João Sá (BA)";"6801";"-";"-";"6000";"-"
"Correntina (BA)";"283684";"-";"180";"40000";"193100"
"Cotegipe (BA)";"4010";"-";"25";"1308";"241"
"Cravolândia (BA)";"213";"1";"-";"-";"-"
"Crisópolis (BA)";"5205";"-";"-";"1560";"-"
"Cristópolis (BA)";"3134";"-";"285";"1304";"-"
"Cruz das Almas (BA)";"2520";"-";"-";"103";"-"
"Curaçá (BA)";"6675";"-";"-";"1257";"-"
"Dário Meira (BA)";"3783";"2";"65";"-";"-"
"Dias d'Ávila (BA)";"39";"-";"-";"2";"-"
"Dom Basílio (BA)";"2685";"-";"-";"100";"-"
"Dom Macedo Costa (BA)";"332";"-";"10";"30";"-"
"Elísio Medrado (BA)";"1056";"-";"1";"33";"-"
"Encruzilhada (BA)";"8742";"5562";"100";"1163";"-"
"Entre Rios (BA)";"3711";"-";"-";"1854";"-"
"Esplanada (BA)";"7881";"-";"-";"890";"-"
"Euclides da Cunha (BA)";"27045";"-";"-";"19200";"-"
"Eunápolis (BA)";"7315";"4068";"30";"67";"-"
"Fátima (BA)";"16198";"-";"-";"15000";"-"
"Feira da Mata (BA)";"936";"-";"20";"555";"-"
"Feira de Santana (BA)";"11010";"-";"-";"5300";"-"
"Filadélfia (BA)";"3599";"-";"-";"1626";"-"
"Firmino Alves (BA)";"295";"-";"-";"-";"-"
"Floresta Azul (BA)";"2095";"25";"-";"-";"-"
"Formosa do Rio Preto (BA)";"607648";"-";"75";"24657";"513318"
"Gandu (BA)";"9418";"13";"5";"-";"-"
"Gavião (BA)";"589";"-";"-";"254";"-"
"Gentio do Ouro (BA)";"741";"-";"15";"265";"-"
"Glória (BA)";"3079";"-";"-";"1886";"-"
"Gongogi (BA)";"1142";"3";"2";"-";"-"
"Governador Mangabeira (BA)";"2273";"-";"-";"263";"-"
"Guajeru (BA)";"685";"-";"-";"140";"-"
"Guanambi (BA)";"4007";"-";"-";"300";"-"
"Guaratinga (BA)";"6670";"1611";"150";"44";"-"
"Heliópolis (BA)";"7089";"-";"-";"6600";"-"
"Iaçu (BA)";"694";"-";"-";"9";"-"
"Ibiassucê (BA)";"1584";"-";"35";"375";"-"
"Ibicaraí (BA)";"2809";"15";"-";"-";"-"
"Ibicoara (BA)";"18859";"6200";"200";"500";"2000"
"Ibicuí (BA)";"1029";"20";"11";"106";"-"
"Ibipeba (BA)";"5350";"-";"-";"1565";"-"
"Ibipitanga (BA)";"360";"-";"11";"206";"-"
"Ibiquera (BA)";"376";"-";"-";"238";"-"
"Ibirapitanga (BA)";"20504";"59";"-";"-";"-"
"Ibirapuã (BA)";"6431";"238";"5600";"4";"-"
"Ibirataia (BA)";"9343";"4";"18";"-";"-"
"Ibitiara (BA)";"631";"4";"-";"214";"-"
"Ibititá (BA)";"6347";"-";"-";"1733";"-"
"Ibotirama (BA)";"929";"-";"10";"323";"-"
"Ichu (BA)";"229";"-";"-";"140";"-"
"Igaporã (BA)";"1066";"10";"36";"370";"-"
"Igrapiúna (BA)";"13264";"-";"-";"10";"-"
"Iguaí (BA)";"2846";"94";"70";"174";"-"
"Ilhéus (BA)";"44433";"249";"45";"12";"-"
"Inhambupe (BA)";"20426";"-";"-";"8410";"-"
"Ipecaetá (BA)";"5492";"-";"-";"2600";"-"
"Ipiaú (BA)";"5635";"20";"15";"25";"-"
"Ipirá (BA)";"3352";"-";"-";"1646";"-"
"Ipupiara (BA)";"972";"-";"4";"300";"-"
"Irajuba (BA)";"493";"60";"-";"31";"-"
"Iramaia (BA)";"1121";"180";"36";"-";"-"
"Iraquara (BA)";"5605";"1000";"595";"700";"-"
"Irará (BA)";"6745";"-";"-";"3040";"-"
"Irecê (BA)";"1157";"-";"-";"703";"-"
"Itabela (BA)";"7745";"4714";"100";"53";"-"
"Itaberaba (BA)";"2662";"-";"-";"278";"-"
"Itabuna (BA)";"7600";"-";"-";"5";"-"
"Itacaré (BA)";"18635";"42";"60";"11";"-"
"Itaeté (BA)";"1331";"-";"-";"454";"-"
"Itagi (BA)";"4542";"-";"6";"-";"-"
"Itagibá (BA)";"4220";"3";"5";"-";"-"
"Itagimirim (BA)";"145";"16";"18";"-";"-"
"Itaguaçu da Bahia (BA)";"1606";"-";"-";"495";"-"
"Itaju do Colônia (BA)";"150";"-";"-";"-";"-"
"Itajuípe (BA)";"14495";"71";"60";"16";"-"
"Itamaraju (BA)";"15612";"7500";"20";"70";"-"
"Itamari (BA)";"5135";"16";"-";"4";"-"
"Itambé (BA)";"1282";"231";"20";"208";"-"
"Itanagra (BA)";"179";"-";"-";"5";"-"
"Itanhém (BA)";"1663";"728";"300";"43";"-"
"Itaparica (BA)";"18";"-";"-";"-";"-"
"Itapé (BA)";"816";"6";"6";"-";"-"
"Itapebi (BA)";"1406";"56";"60";"10";"-"
"Itapetinga (BA)";"31";"-";"1";"-";"-"
"Itapicuru (BA)";"35856";"-";"-";"21420";"60"
"Itapitanga (BA)";"1310";"15";"15";"6";"-"
"Itaquara (BA)";"437";"6";"3";"30";"-"
"Itarantim (BA)";"180";"-";"135";"10";"-"
"Itatim (BA)";"371";"-";"-";"151";"30"
"Itiruçu (BA)";"1040";"321";"-";"11";"-"
"Itiúba (BA)";"9620";"2";"-";"3928";"-"
"Itororó (BA)";"1684";"-";"4";"-";"-"
"Ituaçu (BA)";"9285";"4285";"150";"30";"-"
"Ituberá (BA)";"12224";"-";"35";"-";"-"
"Iuiu (BA)";"4505";"-";"55";"500";"-"
"Jaborandi (BA)";"156899";"-";"65";"22100";"107900"
"Jacaraci (BA)";"1894";"7";"45";"600";"-"
"Jacobina (BA)";"6818";"-";"8";"1224";"-"
"Jaguaquara (BA)";"3141";"93";"33";"31";"-"
"Jaguarari (BA)";"4570";"-";"-";"2571";"-"
"Jaguaripe (BA)";"7652";"6";"2";"13";"-"
"Jandaíra (BA)";"3700";"-";"-";"96";"-"
"Jequié (BA)";"11826";"-";"-";"-";"-"
"Jeremoabo (BA)";"37691";"-";"-";"34300";"-"
"Jiquiriçá (BA)";"6109";"-";"25";"7";"-"
"Jitaúna (BA)";"6888";"-";"6";"115";"-"
"João Dourado (BA)";"3503";"-";"-";"999";"-"
"Juazeiro (BA)";"40097";"-";"16360";"1492";"-"
"Jucuruçu (BA)";"2509";"1100";"65";"70";"-"
"Jussara (BA)";"4246";"-";"-";"917";"-"
"Jussari (BA)";"2455";"100";"10";"-";"-"
"Jussiape (BA)";"1090";"102";"230";"52";"-"
"Lafaiete Coutinho (BA)";"909";"127";"-";"17";"-"
"Lagoa Real (BA)";"607";"-";"-";"225";"-"
"Laje (BA)";"8321";"-";"20";"25";"-"
"Lajedão (BA)";"7361";"61";"7150";"4";"-"
"Lajedinho (BA)";"165";"-";"-";"30";"-"
"Lajedo do Tabocal (BA)";"830";"202";"-";"8";"-"
"Lamarão (BA)";"2012";"-";"-";"-";"-"
"Lapão (BA)";"5231";"-";"-";"1385";"-"
"Lauro de Freitas (BA)";"11";"-";"-";"-";"-"
"Lençóis (BA)";"1610";"890";"6";"79";"-"
"Licínio de Almeida (BA)";"1466";"40";"150";"580";"-"
"Livramento de Nossa Senhora (BA)";"11797";"-";"30";"300";"-"
"Luís Eduardo Magalhães (BA)";"276429";"917";"-";"12566";"221116"
"Macajuba (BA)";"770";"-";"-";"220";"-"
"Macarani (BA)";"186";"85";"25";"10";"-"
"Macaúbas (BA)";"6549";"2";"250";"1530";"-"
"Macururé (BA)";"160";"-";"-";"76";"-"
"Madre de Deus (BA)";"...";"...";"...";"...";"..."
"Maetinga (BA)";"516";"-";"1";"144";"-"
"Maiquinique (BA)";"159";"-";"24";"21";"-"
"Mairi (BA)";"4039";"-";"-";"2009";"-"
"Malhada (BA)";"8379";"-";"10";"1200";"668"
"Malhada de Pedras (BA)";"1827";"-";"-";"250";"-"
"Manoel Vitorino (BA)";"459";"-";"-";"-";"-"
"Mansidão (BA)";"1392";"-";"4";"697";"-"
"Maracás (BA)";"3142";"361";"-";"75";"-"
"Maragogipe (BA)";"2882";"-";"40";"12";"-"
"Maraú (BA)";"13558";"134";"7";"-";"-"
"Marcionílio Souza (BA)";"88";"-";"-";"21";"-"
"Mascote (BA)";"5997";"260";"-";"-";"-"
"Mata de São João (BA)";"582";"-";"-";"20";"-"
"Matina (BA)";"1162";"-";"-";"75";"-"
"Medeiros Neto (BA)";"4510";"89";"4000";"10";"-"
"Miguel Calmon (BA)";"2467";"31";"-";"1015";"-"
"Milagres (BA)";"40";"-";"-";"5";"-"
"Mirangaba (BA)";"2956";"-";"-";"700";"-"
"Mirante (BA)";"415";"-";"5";"-";"-"
"Monte Santo (BA)";"18460";"-";"-";"9000";"-"
"Morpará (BA)";"1147";"-";"4";"380";"-"
"Morro do Chapéu (BA)";"5016";"448";"-";"250";"-"
"Mortugaba (BA)";"1881";"17";"28";"720";"-"
"Mucugê (BA)";"10936";"1454";"150";"210";"890"
"Mucuri (BA)";"9476";"601";"6000";"20";"-"
"Mulungu do Morro (BA)";"7788";"1010";"-";"3026";"-"
"Mundo Novo (BA)";"2623";"43";"-";"630";"-"
"Muniz Ferreira (BA)";"774";"-";"50";"-";"-"
"Muquém do São Francisco (BA)";"13406";"-";"2002";"7300";"271"
"Muritiba (BA)";"1608";"-";"-";"52";"-"
"Mutuípe (BA)";"10087";"21";"12";"20";"-"
"Nazaré (BA)";"892";"-";"18";"-";"-"
"Nilo Peçanha (BA)";"9455";"-";"-";"285";"-"
"Nordestina (BA)";"3452";"-";"-";"920";"-"
"Nova Canaã (BA)";"2092";"728";"10";"240";"-"
"Nova Fátima (BA)";"1081";"-";"-";"327";"-"
"Nova Ibiá (BA)";"6874";"18";"-";"-";"-"
"Nova Itarana (BA)";"555";"291";"-";"26";"-"
"Nova Redenção (BA)";"2203";"-";"-";"820";"-"
"Nova Soure (BA)";"3890";"-";"-";"900";"-"
"Nova Viçosa (BA)";"2442";"415";"1000";"16";"-"
"Novo Horizonte (BA)";"592";"-";"9";"68";"-"
"Novo Triunfo (BA)";"6562";"-";"-";"5500";"-"
"Olindina (BA)";"5639";"-";"-";"3971";"-"
"Oliveira dos Brejinhos (BA)";"1950";"-";"38";"850";"-"
"Ouriçangas (BA)";"747";"-";"-";"225";"-"
"Ourolândia (BA)";"4794";"-";"-";"1066";"-"
"Palmas de Monte Alto (BA)";"4042";"-";"10";"50";"-"
"Palmeiras (BA)";"743";"7";"4";"244";"-"
"Paramirim (BA)";"3133";"-";"75";"612";"-"
"Paratinga (BA)";"2243";"-";"100";"290";"-"
"Paripiranga (BA)";"28671";"-";"-";"28500";"-"
"Pau Brasil (BA)";"2346";"50";"1";"-";"-"
"Paulo Afonso (BA)";"3988";"-";"-";"3121";"-"
"Pé de Serra (BA)";"486";"-";"-";"480";"-"
"Pedrão (BA)";"510";"-";"-";"172";"-"
"Pedro Alexandre (BA)";"10884";"-";"-";"9488";"-"
"Piatã (BA)";"2017";"1167";"90";"200";"-"
"Pilão Arcado (BA)";"4422";"-";"200";"669";"-"
"Pindaí (BA)";"3955";"-";"6";"1000";"-"
"Pindobaçu (BA)";"1887";"-";"10";"730";"-"
"Pintadas (BA)";"697";"-";"-";"364";"-"
"Piraí do Norte (BA)";"7710";"-";"-";"-";"-"
"Piripá (BA)";"803";"-";"70";"263";"-"
"Piritiba (BA)";"749";"-";"-";"181";"-"
"Planaltino (BA)";"883";"2";"-";"8";"-"
"Planalto (BA)";"4817";"2178";"18";"655";"-"
"Poções (BA)";"2387";"765";"4";"560";"-"
"Pojuca (BA)";"66";"-";"-";"-";"-"
"Ponto Novo (BA)";"1891";"-";"8";"440";"-"
"Porto Seguro (BA)";"12480";"4963";"60";"-";"-"
"Potiraguá (BA)";"104";"-";"35";"8";"-"
"Prado (BA)";"9811";"6100";"12";"100";"-"
"Presidente Dutra (BA)";"2153";"-";"-";"760";"-"
"Presidente Jânio Quadros (BA)";"1729";"-";"5";"504";"-"
"Presidente Tancredo Neves (BA)";"13651";"21";"4";"320";"-"
"Queimadas (BA)";"2077";"-";"-";"891";"-"
"Quijingue (BA)";"25615";"-";"-";"15150";"-"
"Quixabeira (BA)";"1851";"-";"-";"895";"-"
"Rafael Jambeiro (BA)";"3201";"-";"-";"1681";"-"
"Remanso (BA)";"2378";"-";"-";"200";"-"
"Retirolândia (BA)";"4765";"-";"-";"400";"-"
"Riachão das Neves (BA)";"196617";"-";"90";"10064";"141741"
"Riachão do Jacuípe (BA)";"682";"-";"-";"331";"-"
"Riacho de Santana (BA)";"3636";"-";"33";"1051";"-"
"Ribeira do Amparo (BA)";"8538";"-";"50";"4243";"-"
"Ribeira do Pombal (BA)";"6590";"-";"-";"3300";"-"
"Ribeirão do Largo (BA)";"2623";"1364";"65";"371";"-"
"Rio de Contas (BA)";"3135";"197";"350";"391";"-"
"Rio do Antônio (BA)";"1406";"-";"-";"400";"-"
"Rio do Pires (BA)";"1335";"-";"50";"515";"-"
"Rio Real (BA)";"26338";"-";"-";"6118";"-"
"Rodelas (BA)";"2740";"-";"-";"-";"-"
"Ruy Barbosa (BA)";"605";"10";"2";"238";"-"
"Salinas da Margarida (BA)";"40";"-";"-";"-";"-"
"Salvador (BA)";"5";"-";"-";"-";"-"
"Santa Bárbara (BA)";"2050";"-";"-";"1000";"-"
"Santa Brígida (BA)";"3548";"-";"-";"2178";"-"
"Santa Cruz Cabrália (BA)";"9340";"1530";"5600";"-";"-"
"Santa Cruz da Vitória (BA)";"341";"-";"-";"4";"-"
"Santa Inês (BA)";"171";"10";"-";"35";"-"
"Santaluz (BA)";"15385";"-";"-";"1200";"-"
"Santa Luzia (BA)";"8730";"942";"-";"-";"-"
"Santa Maria da Vitória (BA)";"4781";"-";"500";"1947";"300"
"Santana (BA)";"5841";"-";"330";"637";"2360"
"Santanópolis (BA)";"1637";"-";"-";"800";"-"
"Santa Rita de Cássia (BA)";"4511";"-";"120";"1138";"980"
"Santa Terezinha (BA)";"370";"-";"-";"96";"-"
"Santo Amaro (BA)";"1031";"-";"15";"79";"-"
"Santo Antônio de Jesus (BA)";"2378";"-";"30";"10";"-"
"Santo Estêvão (BA)";"7040";"-";"-";"3450";"-"
"São Desidério (BA)";"696125";"1813";"80";"35251";"508448"
"São Domingos (BA)";"3472";"-";"-";"392";"-"
"São Félix (BA)";"688";"-";"1";"10";"-"
"São Félix do Coribe (BA)";"2232";"-";"40";"630";"-"
"São Felipe (BA)";"1787";"-";"100";"32";"-"
"São Francisco do Conde (BA)";"330";"-";"30";"2";"-"
"São Gabriel (BA)";"3851";"-";"-";"1182";"-"
"São Gonçalo dos Campos (BA)";"1400";"-";"-";"500";"-"
"São José da Vitória (BA)";"3003";"10";"-";"-";"-"
"São José do Jacuípe (BA)";"171";"-";"-";"62";"-"
"São Miguel das Matas (BA)";"4510";"-";"-";"34";"-"
"São Sebastião do Passé (BA)";"374";"-";"10";"-";"-"
"Sapeaçu (BA)";"2595";"-";"-";"32";"-"
"Sátiro Dias (BA)";"11623";"-";"-";"7639";"-"
"Saubara (BA)";"109";"-";"-";"30";"-"
"Saúde (BA)";"810";"-";"-";"300";"-"
"Seabra (BA)";"3490";"1442";"-";"600";"-"
"Sebastião Laranjeiras (BA)";"1659";"-";"70";"200";"-"
"Senhor do Bonfim (BA)";"3344";"2";"3";"1350";"-"
"Serra do Ramalho (BA)";"16150";"-";"2";"1450";"4000"
"Sento Sé (BA)";"5388";"-";"-";"1503";"-"
"Serra Dourada (BA)";"1011";"-";"60";"600";"-"
"Serra Preta (BA)";"1590";"-";"-";"799";"-"
"Serrinha (BA)";"3718";"-";"-";"2000";"-"
"Serrolândia (BA)";"735";"-";"-";"388";"-"
"Simões Filho (BA)";"215";"-";"3";"-";"-"
"Sítio do Mato (BA)";"2202";"-";"3";"728";"270"
"Sítio do Quinto (BA)";"9902";"-";"-";"8484";"-"
"Sobradinho (BA)";"1653";"-";"-";"166";"-"
"Souto Soares (BA)";"4847";"150";"27";"2176";"-"
"Tabocas do Brejo Velho (BA)";"2702";"-";"45";"510";"1800"
"Tanhaçu (BA)";"3646";"103";"100";"100";"-"
"Tanque Novo (BA)";"1908";"-";"3";"505";"-"
"Tanquinho (BA)";"3981";"-";"-";"2040";"-"
"Taperoá (BA)";"6598";"84";"1";"15";"-"
"Tapiramutá (BA)";"1919";"258";"-";"515";"-"
"Teixeira de Freitas (BA)";"4545";"2902";"200";"70";"-"
"Teodoro Sampaio (BA)";"51";"-";"-";"-";"-"
"Teofilândia (BA)";"4233";"-";"-";"1500";"-"
"Teolândia (BA)";"10435";"6";"-";"-";"-"
"Terra Nova (BA)";"128";"-";"7";"31";"-"
"Tremedal (BA)";"1934";"10";"20";"693";"-"
"Tucano (BA)";"12582";"-";"-";"8000";"-"
"Uauá (BA)";"7776";"-";"-";"3844";"-"
"Ubaíra (BA)";"5357";"19";"2";"31";"-"
"Ubaitaba (BA)";"2793";"-";"-";"-";"-"
"Ubatã (BA)";"5768";"5";"-";"-";"-"
"Uibaí (BA)";"3649";"-";"-";"1242";"-"
"Umburanas (BA)";"3800";"-";"-";"1000";"-"
"Una (BA)";"24852";"446";"12";"-";"-"
"Urandi (BA)";"1655";"5";"8";"291";"-"
"Uruçuca (BA)";"22235";"38";"8";"11";"-"
"Utinga (BA)";"1380";"250";"45";"-";"-"
"Valença (BA)";"17092";"127";"8";"40";"-"
"Valente (BA)";"3930";"-";"-";"300";"-"
"Várzea da Roça (BA)";"2813";"-";"-";"1782";"-"
"Várzea do Poço (BA)";"1856";"-";"-";"900";"-"
"Várzea Nova (BA)";"6881";"-";"-";"312";"-"
"Varzedo (BA)";"1939";"-";"1";"8";"-"
"Vera Cruz (BA)";"213";"-";"4";"-";"-"
"Vereda (BA)";"555";"295";"80";"-";"-"
"Vitória da Conquista (BA)";"10255";"5491";"65";"955";"-"
"Wagner (BA)";"1132";"35";"15";"208";"-"
"Wanderley (BA)";"4059";"-";"20";"356";"-"
"Wenceslau Guimarães (BA)";"14856";"112";"-";"-";"-"
"Xique-Xique (BA)";"1575";"-";"-";"699";"-"
"Abadia dos Dourados (MG)";"8154";"224";"10";"1920";"5000"
"Abaeté (MG)";"1529";"60";"158";"800";"450"
"Abre Campo (MG)";"5104";"4100";"270";"350";"-"
"Acaiaca (MG)";"202";"4";"40";"100";"-"
"Açucena (MG)";"195";"3";"68";"20";"-"
"Água Boa (MG)";"4387";"2590";"135";"1000";"-"
"Água Comprida (MG)";"48412";"-";"25000";"4000";"12000"
"Aguanil (MG)";"4168";"1917";"51";"1200";"800"
"Águas Formosas (MG)";"368";"-";"17";"-";"-"
"Águas Vermelhas (MG)";"1282";"798";"-";"-";"-"
"Aimorés (MG)";"2533";"1650";"15";"250";"-"
"Aiuruoca (MG)";"1897";"10";"44";"950";"250"
"Alagoa (MG)";"92";"-";"-";"30";"-"
"Albertina (MG)";"1525";"1500";"-";"25";"-"
"Além Paraíba (MG)";"74";"-";"-";"20";"-"
"Alfenas (MG)";"47699";"12785";"3500";"12200";"14000"
"Alfredo Vasconcelos (MG)";"674";"-";"-";"250";"50"
"Almenara (MG)";"633";"70";"41";"148";"-"
"Alpercata (MG)";"156";"-";"-";"120";"-"
"Alpinópolis (MG)";"13572";"6600";"540";"3000";"3200"
"Alterosa (MG)";"10210";"5335";"305";"2250";"1700"
"Alto Caparaó (MG)";"2672";"2550";"4";"80";"-"
"Alto Rio Doce (MG)";"2735";"-";"580";"1200";"-"
"Alvarenga (MG)";"157";"16";"13";"20";"-"
"Alvinópolis (MG)";"649";"-";"96";"400";"-"
"Alvorada de Minas (MG)";"150";"-";"33";"20";"-"
"Amparo do Serra (MG)";"1038";"360";"44";"380";"-"
"Andradas (MG)";"10227";"6900";"17";"700";"600"
"Cachoeira de Pajeú (MG)";"321";"-";"50";"-";"-"
"Andrelândia (MG)";"4562";"310";"120";"1650";"1600"
"Angelândia (MG)";"4527";"3720";"23";"500";"-"
"Antônio Carlos (MG)";"998";"-";"4";"350";"250"
"Antônio Dias (MG)";"106";"44";"16";"22";"-"
"Antônio Prado de Minas (MG)";"51";"37";"4";"5";"-"
"Araçaí (MG)";"52";"-";"-";"20";"-"
"Aracitaba (MG)";"126";"-";"25";"40";"-"
"Araçuaí (MG)";"2191";"-";"174";"600";"-"
"Araguari (MG)";"82429";"13175";"16";"25000";"38000"
"Arantina (MG)";"86";"-";"13";"30";"-"
"Araponga (MG)";"5269";"4400";"16";"500";"-"
"Araporã (MG)";"16272";"-";"9768";"394";"4937"
"Arapuá (MG)";"962";"770";"-";"150";"-"
"Araújos (MG)";"482";"-";"22";"40";"100"
"Araxá (MG)";"26993";"3403";"3000";"5100";"12500"
"Arceburgo (MG)";"3235";"1740";"485";"470";"370"
"Arcos (MG)";"12738";"-";"4000";"5100";"3000"
"Areado (MG)";"7522";"2850";"2084";"1200";"1200"
"Argirita (MG)";"72";"-";"2";"10";"-"
"Aricanduva (MG)";"1860";"815";"30";"550";"-"
"Arinos (MG)";"21617";"-";"274";"5500";"10600"
"Astolfo Dutra (MG)";"349";"8";"-";"35";"-"
"Ataléia (MG)";"668";"95";"40";"150";"-"
"Augusto de Lima (MG)";"1052";"-";"380";"75";"380"
"Baependi (MG)";"3464";"905";"-";"2000";"350"
"Baldim (MG)";"1520";"-";"72";"400";"720"
"Bambuí (MG)";"37930";"2920";"13640";"7100";"9600"
"Bandeira (MG)";"235";"40";"11";"-";"-"
"Bandeira do Sul (MG)";"489";"370";"-";"60";"40"
"Barão de Cocais (MG)";"137";"-";"48";"20";"-"
"Barão do Monte Alto (MG)";"78";"-";"15";"15";"-"
"Barbacena (MG)";"4468";"-";"-";"3000";"500"
"Barra Longa (MG)";"553";"-";"165";"150";"-"
"Barroso (MG)";"82";"-";"8";"50";"-"
"Bela Vista de Minas (MG)";"15";"-";"-";"10";"-"
"Belmiro Braga (MG)";"71";"-";"10";"30";"-"
"Belo Horizonte (MG)";"...";"...";"...";"...";"..."
"Belo Oriente (MG)";"348";"-";"50";"150";"-"
"Belo Vale (MG)";"3223";"-";"29";"75";"-"
"Berilo (MG)";"931";"176";"45";"500";"-"
"Bertópolis (MG)";"71";"-";"-";"-";"-"
"Berizal (MG)";"418";"310";"29";"-";"-"
"Betim (MG)";"107";"-";"29";"30";"-"
"Bias Fortes (MG)";"109";"-";"-";"50";"-"
"Bicas (MG)";"62";"-";"42";"8";"-"
"Biquinhas (MG)";"770";"256";"30";"300";"134"
"Boa Esperança (MG)";"28774";"8630";"11";"8500";"7500"
"Bocaina de Minas (MG)";"196";"-";"19";"100";"-"
"Bocaiúva (MG)";"2765";"182";"175";"1000";"-"
"Bom Despacho (MG)";"19370";"-";"4200";"2200";"12500"
"Bom Jardim de Minas (MG)";"90";"-";"9";"30";"-"
"Bom Jesus da Penha (MG)";"10366";"2500";"-";"3300";"3500"
"Bom Jesus do Amparo (MG)";"174";"4";"20";"30";"-"
"Bom Jesus do Galho (MG)";"2592";"1000";"180";"600";"-"
"Bom Repouso (MG)";"1383";"14";"-";"340";"-"
"Bom Sucesso (MG)";"5555";"3490";"25";"1500";"350"
"Bonfim (MG)";"1252";"-";"72";"60";"-"
"Bonfinópolis de Minas (MG)";"37606";"760";"30";"7000";"27000"
"Bonito de Minas (MG)";"2214";"-";"400";"500";"-"
"Borda da Mata (MG)";"1361";"400";"5";"500";"115"
"Botelhos (MG)";"8285";"6875";"37";"800";"300"
"Botumirim (MG)";"1178";"40";"120";"200";"-"
"Brasilândia de Minas (MG)";"13880";"-";"1200";"5600";"5500"
"Brasília de Minas (MG)";"1154";"-";"320";"100";"-"
"Brás Pires (MG)";"735";"-";"17";"350";"-"
"Braúnas (MG)";"389";"-";"33";"100";"-"
"Brazópolis (MG)";"2741";"411";"5";"150";"-"
"Brumadinho (MG)";"1928";"-";"106";"150";"-"
"Bueno Brandão (MG)";"4184";"2040";"37";"700";"-"
"Buenópolis (MG)";"3989";"-";"324";"2700";"50"
"Bugre (MG)";"91";"-";"-";"25";"-"
"Buritis (MG)";"131769";"929";"100";"16500";"97500"
"Buritizeiro (MG)";"40250";"1170";"46";"8100";"25500"
"Cabeceira Grande (MG)";"48044";"-";"-";"16000";"25000"
"Cabo Verde (MG)";"11404";"9100";"294";"1000";"550"
"Cachoeira da Prata (MG)";"24";"-";"4";"15";"-"
"Cachoeira de Minas (MG)";"3974";"1280";"-";"800";"180"
"Cachoeira Dourada (MG)";"16021";"-";"-";"4150";"8350"
"Caetanópolis (MG)";"549";"-";"25";"200";"300"
"Caeté (MG)";"412";"10";"35";"50";"-"
"Caiana (MG)";"3757";"3500";"-";"90";"-"
"Cajuri (MG)";"1745";"850";"5";"500";"-"
"Caldas (MG)";"5009";"1300";"-";"1500";"800"
"Camacho (MG)";"3324";"2710";"6";"430";"90"
"Camanducaia (MG)";"554";"-";"-";"50";"-"
"Cambuí (MG)";"621";"8";"12";"400";"-"
"Cambuquira (MG)";"7077";"3000";"-";"2000";"900"
"Campanário (MG)";"95";"-";"32";"22";"-"
"Campanha (MG)";"11708";"3336";"10";"1600";"3000"
"Campestre (MG)";"16495";"12480";"100";"1700";"1000"
"Campina Verde (MG)";"13701";"-";"3700";"1500";"5500"
"Campo Azul (MG)";"426";"-";"24";"100";"-"
"Campo Belo (MG)";"8575";"2500";"45";"3500";"2000"
"Campo do Meio (MG)";"9436";"4418";"8";"2000";"2000"
"Campo Florido (MG)";"82327";"-";"40000";"6650";"27000"
"Campos Altos (MG)";"20342";"10070";"-";"1750";"5000"
"Campos Gerais (MG)";"27571";"19000";"28";"2200";"3000"
"Canaã (MG)";"1698";"960";"71";"400";"-"
"Canápolis (MG)";"59009";"-";"30000";"3100";"18000"
"Cana Verde (MG)";"1320";"620";"-";"400";"200"
"Candeias (MG)";"16030";"6070";"34";"6300";"3000"
"Cantagalo (MG)";"161";"-";"42";"80";"-"
"Caparaó (MG)";"5750";"5580";"-";"100";"-"
"Capela Nova (MG)";"1049";"405";"80";"350";"-"
"Capelinha (MG)";"9368";"7033";"154";"1500";"-"
"Capetinga (MG)";"9744";"5890";"-";"1000";"2500"
"Capim Branco (MG)";"73";"-";"-";"30";"-"
